wod1,wod2
Hang squat clean 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"For time:
65 pound Thrusters, 50 reps
50 Pull-ups
65 pound Thrusters, 30 reps
30 Pull-ups
65 pound Thrusters, 20 reps
20 Pull-ups",Post time to comments.
Rest Day,
"""Murph""","For time:
1 mile Run
100 Pull-ups
200 Push-ups
300 Squats
1 mile Run"
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
Rest Day,
Run 10 K,Post time to comments.
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
Overhead Squat 5-5-5-5-5 reps,Post loads to comments.
Rest Day,
Back Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
Rest Day,
Front Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
"For time:
225 pound Deadlift, 15 reps
Rope climb, 5 ascents
225 pound Deadlift, 12 reps
Rope climb, 4 ascents
225 pound Deadlift, 9 reps
Rope climb, 3 ascents
225 pound Deadlift, 6 reps
Rope climb, 2 ascents
225 pound Deadlift, 3 reps
Rope climb, 1 ascent",Post time to comments.
"Complete in twenty minutes as many rounds as you can of:
25 Squats
10 Strict pull-ups
10 Ring dips",Post rounds completed to comments.
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"Three efforts for time of:
Run 800 meters",Post times to comments.
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Rest Day,
Run 5 K,Post time to comments.
30 Muscle-ups for time,Post time to comments.
Thruster 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Seven rounds for time of:
135 pound Clean, 10 reps
Handstand Push-ups, 10 reps",Post time to comments.
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
Back Squat 5-5-5-5-5 reps,Post loads to comments.
Rest Day,
"Seven rounds for time of:
15 Pull-ups
25 Squats",Post time to comments.
Deadlift 5-5-5-5-5 reps,Post loads to comments.
"Five rounds for time of:
95 pound Power snatch, 15 reps
Run 400 meters",Post time to comments.
Rest Day,
"Three rounds for time of:
15 Muscle-ups
100 Squats",Post time to comments
Shoulder press 5-5-5-5-5 reps,Post loads to comments.
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Rest Day,
"10 rounds for time of:
10 Pull-ups
10 Ring dips",Post time to comments.
Clean 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"""Strung-out, backwards, and upside down Fran""","For time:
Run 1200 meters
9 Pull-ups
95 pound Thruster, 9 reps
Run 800 meters
15 Pull-ups
95 pound Thruster, 15 reps
Run 400 meters
21 Pull-ups
95 pound Thruster, 21 reps"
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"Five rounds for time of:
135 pound Deadlift, 15 reps
Run 400 meters
15 GHD Sit-ups",Post time to comments.
"For time:
Run 400 meters
21 L-Pull-ups
21 Handstand push-ups
Run 400 meters
15 L-Pull-ups
15 Handstand push-ups
Run 400 meters
9 L-Pull-ups
9 Handstand push-ups",Post time to comments.
Front Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
Weighted Pull-ups 1-1-1-1-1-1-1-1-1-1 reps,Post loads and bodyweight to comments.
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Rest Day,
Tabata Squats,"In twenty seconds, do as many squats as you can, then rest 10 seconds. Repeat this seven more times for a total of 8 intervals, 4 minutes total exercise. The score is the least number of reps for any of the eight intervals."
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
Rest Day,
"For time:
20 inch Box jump, 50 reps
Rope climb, 5 ascents
1.5 pood Kettlebell swing, 50 reps
50 sit-ups
40 pound dumbbell Hang power clean, 50 reps
800 meter Run
50 Back extensions",Post time to comments.
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Push Jerk 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Annie""","50-40-30-20 and10 rep rounds of:
Double-unders
Sit-ups"
"Three efforts for time of:
Run 800 meters",Post times to comments.
"Three rounds for time of:
95 pound Overhead squat, 15 reps
15 L Pull-ups
95 pound Split-jerk, 15 reps
15 Knees to elbows
95 pound Hang clean, 15 reps
15 Back extensions, with 25 pounds",Post time to comments.
Rest Day,
Deadlift 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
"""Nasty Girls""","3 rounds for time of:
50 Squats
7 Muscle-ups
95 pound Hang power cleans, 10 reps"
Back Squat 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
Rest Day,
30 Muscle-ups for time,Post time to comments.
"For time:
100 meter Walking lunge
800 meter Run
100 Squats",Post time to comments
"Three efforts for time of:
 Run 800 meters",Post times to comments.
Rest Day,
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
"For time:
95 pound Clean and Jerk, 50 reps",Post time to comments.
Rest Day,
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target. (Reps)
Sumo deadlift high-pull 75 pounds (Reps)
Box Jump 20"" box (Reps)
Push-press 75 pounds (Reps)
Row (Calories)"
Run 5 K,Post time to comments.
"Three rounds, 21-15- and 9 reps, for time, of:
 95 pound Hang squat clean
Handstand push-ups
185 pound Deadlift
Ring Dips",Post time to comments.
Rest Day,
30 Muscle-ups for time,Post time to comments.
Overhead Squats 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Rest Day,
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Run 10 K,Post time to comments.
Back Squat 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
"Complete three rounds for time of:
95 pound Power snatch, 21 reps
Run 400 meters",Post time to comments.
"Add five reps to each exercise, each round, completing as many rounds as possible in 30 minutes of:
5 Pull-ups
10 Push-ups
15 Squats",Post rounds completed to comments.
Rest Day,
"Five rounds for time of:
 45 pound Thruster, 30 reps
30 ""L"" Pull-ups",Post time to comments.
Clean 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"50-40-30-20, then 10 rep rounds, for total time of:
Back extensions
Wall ball shots, 20 pound ball, ten foot target
Box jump, 24"" box",Post time to comments.
Rest Day,
Push Jerk 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"Two rounds for time of:
15 ft. Rope climb, 3 ascents
1.5 pood Kettlebell swings, 21 reps
75 pound Stiff legged deadlifts, 21 reps
21 Knees to elbows
21 Double unders",Post time to comments.
Front Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
20 Burpees
10 Handstand push-ups
Run 400 meters",Post time to comments.
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
Row 1000 meters
20 Pull-ups
30 Box jumps, 20 inch box",Post time to comments.
Rest Day,
"For time:
95 pound Squat clean, 21 reps
42 Back extensions
95 pound Squat clean, 15 reps
30 Back extensions
95 pound Squat clean, 9 reps
18 Back extensions",Post time to comments.
Shoulder Press 3-3-3-3-3-3-3 reps,Post loads to comments.
"For time:
50 Wall-ball shots
50 L Pull-ups
35 Wall-ball shots
35 L Pull-ups
20 Wall-ball shots
20 L Pull-ups",Post time to comments.
Rest Day,
"For time:
 50 Back Extensions
50 Sit-ups
40 Back Extensions
40 Sit-ups
30 Back Extensions
30 Sit-ups
20 Back Extensions
20 Sit-ups
10 Back Extensions
10 Sit-ups",Post time to comments.
"Complete as many rounds as you can in twenty minutes of:
75 pound Sumo deadlift high-pull, 21 reps
12 L-pull-ups",Post rounds completed to comments.
Overhead squat 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"Five rounds for time of:
Row 500 meters
45 pound Thrusters, 30 reps",Post time to comments.
Weighted Pull-ups 1-1-1-1-1-1-1-1-1-1 reps,Post loads and bodyweight to comments.
Rest Day,
"Five rounds for time of:
 75 pound Sumo deadlift high pull, 21 reps
12 Handstand push-ups",Post time to comments.
"Seven rounds, 21-18-15-12-9-6 - and 3 reps, for time of:
Body weight Bench press
Pull-ups",Post time and body weight to comments.
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Rest Day,
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
 Run 400 meters
65 pound Thruster, 30 reps
30 Pull-ups",Post time to comments.
Clean and Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Elizabeth""
21-15-9 reps of:
Clean 135 pounds
Ring dips",Post time to comments.
"Deadlift 3-2-2-1-1-1 reps
Bench press 3-2-2-1-1-1 reps
Back Squat 3-2-2-1-1-1 reps",Post loads to comments.
"""Candy""
Five rounds for time of:
20 Pull-ups
40 Push-ups
60 Squats",OR
Rest Day,
Run 10 K,Post time to comments.
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
Thruster 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"For time:
Row 500 meters
Body weight Bench press, 30 reps
Row 1000 meters
Body weight Bench press, 20 reps
Row 2000 meters
Body weight Bench press, 10 reps",Post time to comments.
"Complete as many rounds in 20 minutes as you can of:
Walking lunge, carrying 25 pound dumbbells, 10 steps
Weighted pull-ups, with 25 pound dumbbell, 10 reps",Post number of rounds completed to comments.
"Five rounds for time of:
75 pound Snatch, 3 reps
75 pound Overhead squat, 15 reps
Run 400 meters",Post time to comments.
Run 10 K,Post time to comments.
Run 5 K,Post time to comments.
"Complete as many rounds in twenty minutes as you can of:
95 pound Squat clean, 10 reps
10 Dips",Post rounds completed to comments.
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"For time:
Run 800 meters
100 Sit-ups
100 Back extensions
Run 800 meters",Post time to comments.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
Front Squat 3-3-3-3-3-3-3 reps,Post loads to comments
"Five rounds for time of:
25 Wall ball shots, 20 pound ball
7 Muscle-ups",Post time to comments.
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
Rest Day,
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
Row 500 meters
Bodyweight benchpress 21 reps",Post time to comments.
"21-15 and 9 reps of
135 pound Clean and Jerk
Pull-ups",Post time to comments.
Rest Day,
"For time:
25 Walking lunge steps
20 Pull-ups
50 Box jumps, 20 inch box
20 Double-unders
25 Ring dips
20 Knees to elbows
30 Kettlebell swings, 2 pood
30 Sit-ups
20 Hang squat cleans, 35 pound dumbells
25 Back extensions
30 Wall ball shots, 20 pound ball
3 Rope climb ascents",Post time to comments.
Overhead squat 3-3-3-3-3-3-3 reps,Post loads to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
Back Squat 5-5-5-5-5 reps,Post loads to comments.
"Complete as many rounds in twenty minutes as you can of:
21 Jumping pull-ups
65 pound barbell Thruster, 15 reps",Post rounds completed and any thoughts or analysis regarding the jumping pull-up to comments.
Rest Day,
"""Grace""","135 pound Clean and Jerk, 30 reps"
Push Jerk 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Rest Day,
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
Front Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Daniel""","For time:
 50 Pull-ups
400 meter run
95 pound Thruster, 21 reps
800 meter run
95 pound Thruster, 21 reps
400 meter run
50 Pull-ups"
"Complete as many rounds as you can in twenty minutes of:
65 pound Hang squat clean, 12 reps
7 Pull-ups",Post rounds completed to comments.
Rest Day,
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
Barbell Thruster 3-2-2-2-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"For time:
Run 400 meters
50 Pull-ups
Run 400 meters
50 Push-ups
Run 400 meters
50 Sit-ups
Run 400 meters
50 Squats",Post time to comments.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
"Five rounds for time of:
Row 500 meters
15 Knees to elbows
15 Back extensions",Post time to comments.
Rest Day,
"Three rounds, 21-15- and 9 reps, for time of:
135 pound Push press
45 pound weighted Pull-ups",Post time to comments.
Back Squat 1-1-1-1-1-1-1 reps,Post loads to comments.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Rest Day,
Hang squat clean 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
 Run 800 meters
115 pound Thruster, 15 reps
21 L Pull-ups",Post time to comments.
Rest Day,
"For time:
30 Muscle-ups",Post time to comments.
"Four rounds for time of:
Run 400 meters
50 Squats",Post time to comments.
Complete as many rounds as you can in twenty minutes of:,"5 Handstand push-ups
12 Pull-ups"
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"Row 1000 meters
85 pound Thruster, 21 reps
15 Pull-ups","Row 750 meters
85 pound Thruster, 18 reps
12 Pull-ups"
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
Rest Day,
Overhead squat 5-5-5-5-5 reps,Post loads to comments.
"Five rounds for time of:
95 pound Sumo deadlift high-pull, 12 reps
12 Ring dips",Post time to comments.
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
Run 5 K,Post time to comments.
"For time:
10 Dumbbell Clean & Jerks
1 Weighted pull-up
9 Dumbbell Clean & Jerks
2 Weighted pull-ups
8 Dumbbell Clean & Jerks
3 Weighted pull-ups
7 Dumbbell Clean & Jerks
4 Weighted pull-ups
6 Dumbbell Clean & Jerks
5 Weighted pull-ups
5 Dumbbell Clean & Jerks
6 Weighted pull-ups 4
4 Dumbbell Clean & Jerks
7 Weighted pull-ups
3 Dumbbell Clean & Jerks
8 Weighted pull-ups
2 Dumbbell Clean & Jerks
9 Weighted pull-up
1 Dumbbell Clean & Jerks
10 Weighted Pull-ups","Use 25, 45, or 65 pound dumbbells. Use one of the C&J dumbbells as the load for the weighted pull-ups. Placing the dumbbell between legs crossed at the ankles works very well."
Rest Day,
"""Isabel""","For time:
Snatch 135 pounds, 30 reps"
Back Squat 5-3-3-3-1-1-1-1-1 reps,Post loads to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"Five rounds for time of:
30 Double-unders
30 Wallball shots, 20 pound ball
3 Rope climb ascents, 15 ft rope",Post time to comments.
"Five rounds of:
5 Dumbbell deadlifts
5 Dumbbell hang cleans
5 Dumbbell push presses
5 Dumbbell squats",Increase the load each round. Rest as necessary between rounds.
Rest Day,
"Ten rounds for time of:
10 Pull-ups
10 Ring Dips",Post time to comments.
"Four rounds for time of:
20 pound Medicine ball cleans, 20 reps
100 ft Walking lunge
45 pound One arm dumbbell snatch, right arm, 10 reps
45 pound One arm dumbbell snatch, left arm, 10 reps",Post time to comments.
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Rest Day,
Back Squat 3-3-3-3-3-3-3 reps,Post loads to comments.
"Three rounds for time of:
Clean 135 pounds, 15 reps
21 Double unders",Post time to comments.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Rest Day,
"For time:
Run 400 meters
30 Pull-ups
21 Handstand push-ups
Run 800 meters
21 Handstand push-ups
30 Pull-ups
Run 400 meters",Post time to comments.
Front Squat 1-1-1-1-1-1-1-1-1-1 reps.,Post loads to comments.
"Five rounds for time of:
Deadlift 7 reps
Ring dip 10 reps",Post load and time to comments.
Rest Day,
Power Clean 3-3-3-2-2-2-2 reps,Post loads to comments.
"For time:
15 Handstand push-ups
1 L Pull-up
13 Handstand push-ups
3 L Pull-ups
11 Handstand push-ups
5 L Pull-ups
9 Handstand push-ups
7 L Pull-ups
7 Handstand push-ups
9 L Pull-ups
5 Handstand push-ups
11 L Pull-ups
3 Handstand push-ups
13 L Pull-ups
1 Handstand push-up
15 L Pull-ups",Post time to comments.
"""Murph""","For time:
1 mile Run
100 Pull-ups
200 Push-ups
300 Squats
1 mile Run"
Rest Day,
Three rounds for time of:,"21 Burpees, get air (6"")
21 Squat snatches, 45 pound barbell
21 Wall Ball shots, 10 foot target, 20 pound ball
21 Thrusters, 25 pound dumbbells
21 Squat cleans, 25 pound dumbells"
Front Squat 1-1-1-1-1-1-1 reps,Post loads to comments.
"Five rounds for time of:
25 Inverted Burpees
25 Pull-ups
25 Burpees",Post time to comments.
Rest Day,
Run 5 K,Post time to comments.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
Run 10 K,Post time to comments.
Rest Day,
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
"""Grace""","135 pound Clean and Jerk, 30 reps"
Rest Day,
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Rest Day,
Hang Clean 1-1-1-1-1-1-1 reps,Post loads to comments.
"Five rounds for time of:
Row 500 meters
35 pound Dumbbell thruster, 15 reps
15 pull-ups",Post time to comments.
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
95 pound Push-jerk, 15 reps
15 L pull-ups",Post time to comments.
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"Run 400 meters
50 Wall-ball shots
30 Pull-ups
Run 800 meters
30 Pull-ups
50 Wall-ball shots
Run 400 meters",Post time to comments.
Rest Day,
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Push Jerk 3-2-2-2-1-1-1-1-1 reps,Post loads to comments
Rest Day,
"Pull-ups, 30 seconds on/ 30 seconds off, 15 intervals.",Post total number of pull-ups to comments.
20 seconds on/ 10 second off 65-pound thrusters for 15 intervals,Scored as the least number of reps in any of the 15 intervals. Bar must stay racked for duration of each interval.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Rest Day,
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"Five rounds for time of:
135 pound Deadlift, 15 reps
Run 400 meters
15 GHD Sit-ups",Post time to comments.
Hang Clean 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"Complete as many rounds as you can in twenty minutes of:
65 pound push press, 12 reps
10 pull-ups",Post rounds completed to comments.
Rest Day,
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"For time:
30 Muscle-ups",Post time to comments.
Overhead squat 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"Complete as many rounds in 20 minutes as you can of:
65 pound Deadlift, 10 reps
65 pound Hang clean, 8 reps
65 pound Push-press, 6 reps",Post rounds and fractions of rounds completed to comments.
Rest Day,
Run 5 K,Post time to comments.
"For time, complete all nine rounds of:
Pull-up/Push-up/Squat
25/15/5
20/15/10
15/15/15
10/15/20
5/15/25
10/15/20
15/15/15
20/1510
25/15/5",Post time to comments.
Back Squat 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"""Easy"" Mary","Complete as many rounds in 20 minutes as you can of:
5 Handstand Push-ups
10 Pull-ups
25 Squats"
Clean and Jerk 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
"15-12-9-6 and 3 rep rounds for total time of:
185 pound Deadlift
Handstand push-ups
Vertical leap, 1 foot above reach",Post time to comments.
"For time:
 Run 400 meters
95 pound thruster, 21 reps
30 pull-ups
Run 800 meters
30 pull-ups
95 pound thruster, 21 reps
Run 400 meters",Post time to comments.
Rest Day,
"Ten rounds for time of:
Row 250 meters
Bench-press 95 pounds, 25 reps",Post time to comments.
"Three rounds for time of:
Two-hand, dumbbell power snatch, 30-pounds each, 30 reps
30 Pull-ups
Run 800 meters",Post time to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
Run 5 K,Post time to comments.
"Three rounds for time of:
Row 500 meters
12 Muscle-ups",Post time to comments.
"For time:
95 pound Thruster, 21 reps
Run 400 meters
95 pound Thruster, 18 reps
Run 400 meters
95 pound Thruster, 15 reps
Run 400 meters",Post time to comments.
Rest Day,
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Rest Day,
Weighted Pull-ups 1-1-1-1-1-1-1-1-1-1 reps,Placing a dumbbell between the legs above crossed ankles works great.
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
Back squat 5-5-5-5-5 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
135 pound Hang squat clean, 15 reps
30 Push-ups",Post time to comments.
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Rest Day,
Deadlift 5-5-5-5-5 reps,Post loads to comments.
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
Rest Day,
Run 10 K,Post time to comments.
"For time:
145 pound Thruster, 10 reps
40 Pull-ups
400 meter run
95 pound Thruster, 30 reps
30 Pull-ups
600 meter run
45 pound Thruster, 50 reps
20 Pull-ups
800 meter run",Post time to comments.
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
Run 400 meters
15 Handstand push-ups
15 Pull-ups",Post time to comments.
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
Rest Day,
"Four rounds for time of:
Run 400 meters
30 GHD Hip Extensions",Post time to comments.
"Three rounds for time of:
Row 500 meters
75 pound Hang power snatch, 21 reps",Post time to comments.
Back Squat 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"21-15-9 reps of:
95 pound Overhead squats
Handstand push-ups",Post time to comments.
Hang power clean 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
